region,suvr
CTX_LH_BANKSSTS_SUVR,1.7198464730290457
CTX_LH_CAUDALANTERIORCINGULATE_SUVR,1.5342697095435682
CTX_LH_CAUDALMIDDLEFRONTAL_SUVR,1.5127551867219915
CTX_LH_CUNEUS_SUVR,1.3085933609958509
CTX_LH_ENTORHINAL_SUVR,1.0487966804979254
CTX_LH_FUSIFORM_SUVR,1.415701244813278
CTX_LH_INFERIORPARIETAL_SUVR,1.5249792531120334
CTX_LH_INFERIORTEMPORAL_SUVR,1.500630705394191
CTX_LH_ISTHMUSCINGULATE_SUVR,1.545734439834025
CTX_LH_LATERALOCCIPITAL_SUVR,1.392780082987552
CTX_LH_LATERALORBITOFRONTAL_SUVR,1.5490871369294608
CTX_LH_LINGUAL_SUVR,1.2731576763485477
CTX_LH_MEDIALORBITOFRONTAL_SUVR,1.5020954356846472
CTX_LH_MIDDLETEMPORAL_SUVR,1.4489004149377591
CTX_LH_PARAHIPPOCAMPAL_SUVR,1.1705933609958508
CTX_LH_PARACENTRAL_SUVR,1.4569958506224066
CTX_LH_PARSOPERCULARIS_SUVR,1.4922655601659751
CTX_LH_PARSORBITALIS_SUVR,1.5023153526970954
CTX_LH_PARSTRIANGULARIS_SUVR,1.538838174273859
CTX_LH_PERICALCARINE_SUVR,1.497643153526971
CTX_LH_POSTCENTRAL_SUVR,1.3140082987551869
CTX_LH_POSTERIORCINGULATE_SUVR,1.6066307053941908
CTX_LH_PRECENTRAL_SUVR,1.354759336099585
CTX_LH_PRECUNEUS_SUVR,1.641655601659751
CTX_LH_ROSTRALANTERIORCINGULATE_SUVR,1.5247676348547716
CTX_LH_ROSTRALMIDDLEFRONTAL_SUVR,1.5831618257261413
CTX_LH_SUPERIORFRONTAL_SUVR,1.465369294605809
CTX_LH_SUPERIORPARIETAL_SUVR,1.4270041493775931
CTX_LH_SUPERIORTEMPORAL_SUVR,1.3764066390041496
CTX_LH_SUPRAMARGINAL_SUVR,1.485369294605809
CTX_LH_FRONTALPOLE_SUVR,1.4021244813278009
CTX_LH_TEMPORALPOLE_SUVR,1.172053941908714
CTX_LH_TRANSVERSETEMPORAL_SUVR,1.382917012448133
CTX_LH_INSULA_SUVR,1.370585062240664
LEFT_CEREBELLUM_CORTEX_SUVR,1.0
LEFT_THALAMUS_PROPER_SUVR,1.0
LEFT_CAUDATE_SUVR,1.0
LEFT_PUTAMEN_SUVR,1.0
LEFT_PALLIDUM_SUVR,1.0
LEFT_HIPPOCAMPUS_SUVR,1.0
LEFT_AMYGDALA_SUVR,1.0
LEFT_ACCUMBENS_AREA_SUVR,1.0
RIGHT_THALAMUS_PROPER_SUVR,1.0
RIGHT_CAUDATE_SUVR,1.0
RIGHT_PUTAMEN_SUVR,1.0
RIGHT_PALLIDUM_SUVR,1.0
RIGHT_HIPPOCAMPUS_SUVR,1.0
RIGHT_AMYGDALA_SUVR,1.0
RIGHT_ACCUMBENS_AREA_SUVR,1.0
CTX_RH_BANKSSTS_SUVR,1.7280539419087138
CTX_RH_CAUDALANTERIORCINGULATE_SUVR,1.5208381742738588
CTX_RH_CAUDALMIDDLEFRONTAL_SUVR,1.49748132780083
CTX_RH_CUNEUS_SUVR,1.2982365145228216
CTX_RH_ENTORHINAL_SUVR,1.043435684647303
CTX_RH_FUSIFORM_SUVR,1.402402489626556
CTX_RH_INFERIORPARIETAL_SUVR,1.5342323651452283
CTX_RH_INFERIORTEMPORAL_SUVR,1.488265560165975
CTX_RH_ISTHMUSCINGULATE_SUVR,1.5486473029045644
CTX_RH_LATERALOCCIPITAL_SUVR,1.410286307053942
CTX_RH_LATERALORBITOFRONTAL_SUVR,1.5485394190871369
CTX_RH_LINGUAL_SUVR,1.269792531120332
CTX_RH_MEDIALORBITOFRONTAL_SUVR,1.524564315352697
CTX_RH_MIDDLETEMPORAL_SUVR,1.46195020746888
CTX_RH_PARAHIPPOCAMPAL_SUVR,1.1954107883817426
CTX_RH_PARACENTRAL_SUVR,1.4625352697095435
CTX_RH_PARSOPERCULARIS_SUVR,1.5035186721991702
CTX_RH_PARSORBITALIS_SUVR,1.5259419087136927
CTX_RH_PARSTRIANGULARIS_SUVR,1.544759336099585
CTX_RH_PERICALCARINE_SUVR,1.508585062240664
CTX_RH_POSTCENTRAL_SUVR,1.314502074688797
CTX_RH_POSTERIORCINGULATE_SUVR,1.6039170124481328
CTX_RH_PRECENTRAL_SUVR,1.3563402489626557
CTX_RH_PRECUNEUS_SUVR,1.6240497925311204
CTX_RH_ROSTRALANTERIORCINGULATE_SUVR,1.545709543568465
CTX_RH_ROSTRALMIDDLEFRONTAL_SUVR,1.606917012448133
CTX_RH_SUPERIORFRONTAL_SUVR,1.4681576763485478
CTX_RH_SUPERIORPARIETAL_SUVR,1.412551867219917
CTX_RH_SUPERIORTEMPORAL_SUVR,1.3704356846473031
CTX_RH_SUPRAMARGINAL_SUVR,1.4768340248962657
CTX_RH_FRONTALPOLE_SUVR,1.4462904564315349
CTX_RH_TEMPORALPOLE_SUVR,1.1534688796680497
CTX_RH_TRANSVERSETEMPORAL_SUVR,1.336070539419087
CTX_RH_INSULA_SUVR,1.3728423236514524
RIGHT_CEREBELLUM_CORTEX_SUVR,1.0
