Raj_label,FS_LUT,FS_label
Bankssts_L,1001,ctx-lh-bankssts
Caudalanteriorcingulate_L,1002,ctx-lh-caudalanteriorcingulate
Caudalmiddlefrontal_L,1003,ctx-lh-caudalmiddlefrontal
Cuneus_L,1005,ctx-lh-cuneus
Entorhinal_L,1006,ctx-lh-entorhinal
Fusiform_L,1007,ctx-lh-fusiform
Inferiorparietal_L,1008,ctx-lh-inferiorparietal
Inferiortemporal_L,1009,ctx-lh-inferiortemporal
Isthmuscingulate_L,1010,ctx-lh-isthmuscingulate
Lateraloccipital_L,1011,ctx-lh-lateraloccipital
Lateralorbitofrontal_L,1012,ctx-lh-lateralorbitofrontal
Lingual_L,1013,ctx-lh-lingual
Medialorbitofrontal_L,1014,ctx-lh-medialorbitofrontal
Middletemporal_L,1015,ctx-lh-middletemporal
Parahippocampal_L,1016,ctx-lh-parahippocampal
Paracentral_L,1017,ctx-lh-paracentral
Parsopercularis_L,1018,ctx-lh-parsopercularis
Parsorbitalis_L,1019,ctx-lh-parsorbitalis
Parstriangularis_L,1020,ctx-lh-parstriangularis
Pericalcarine_L,1021,ctx-lh-pericalcarine
Postcentral_L,1022,ctx-lh-postcentral
Posteriorcingulate_L,1023,ctx-lh-posteriorcingulate
Precentral_L,1024,ctx-lh-precentral
Precuneus_L,1025,ctx-lh-precuneus
Rostralanteriorcingulate_L,1026,ctx-lh-rostralanteriorcingulate
Rostralmiddlefrontal_L,1027,ctx-lh-rostralmiddlefrontal
Superiorfrontal_L,1028,ctx-lh-superiorfrontal
Superiorparietal_L,1029,ctx-lh-superiorparietal
Superiortemporal_L,1030,ctx-lh-superiortemporal
Supramarginal_L,1031,ctx-lh-supramarginal
Frontalpole_L,1032,ctx-lh-frontalpole
Temporalpole_L,1033,ctx-lh-temporalpole
Transversetemporal_L,1034,ctx-lh-transversetemporal
Insula_L,1035,ctx-lh-insula
Cerebellum_Cortex_L,8,Left-Cerebellum-Cortex
Thalamus_Proper_L,10,Left-Thalamus-Proper
Caudate_L,11,Left-Caudate
Putamen_L,12,Left-Putamen
Pallidum_L,13,Left-Pallidum
Hippocampus_L,17,Left-Hippocampus
Amygdala_L,18,Left-Amygdala
Accumbens_area_L,26,Left-Accumbens-area
Thalamus_Proper_R,49,Right-Thalamus-Proper
Caudate_R,50,Right-Caudate
Putamen_R,51,Right-Putamen
Pallidum_R,52,Right-Pallidum
Hippocampus_R,53,Right-Hippocampus
Amygdala_R,54,Right-Amygdala
Accumbens_area_R,58,Right-Accumbens-area
Bankssts_R,2001,ctx-rh-bankssts
Caudalanteriorcingulate_R,2002,ctx-rh-caudalanteriorcingulate
Caudalmiddlefrontal_R,2003,ctx-rh-caudalmiddlefrontal
Cuneus_R,2005,ctx-rh-cuneus
Entorhinal_R,2006,ctx-rh-entorhinal
Fusiform_R,2007,ctx-rh-fusiform
Inferiorparietal_R,2008,ctx-rh-inferiorparietal
Inferiortemporal_R,2009,ctx-rh-inferiortemporal
Isthmuscingulate_R,2010,ctx-rh-isthmuscingulate
Lateraloccipital_R,2011,ctx-rh-lateraloccipital
Lateralorbitofrontal_R,2012,ctx-rh-lateralorbitofrontal
Lingual_R,2013,ctx-rh-lingual
Medialorbitofrontal_R,2014,ctx-rh-medialorbitofrontal
Middletemporal_R,2015,ctx-rh-middletemporal
Parahippocampal_R,2016,ctx-rh-parahippocampal
Paracentral_R,2017,ctx-rh-paracentral
Parsopercularis_R,2018,ctx-rh-parsopercularis
Parsorbitalis_R,2019,ctx-rh-parsorbitalis
Parstriangularis_R,2020,ctx-rh-parstriangularis
Pericalcarine_R,2021,ctx-rh-pericalcarine
Postcentral_R,2022,ctx-rh-postcentral
Posteriorcingulate_R,2023,ctx-rh-posteriorcingulate
Precentral_R,2024,ctx-rh-precentral
Precuneus_R,2025,ctx-rh-precuneus
Rostralanteriorcingulate_R,2026,ctx-rh-rostralanteriorcingulate
Rostralmiddlefrontal_R,2027,ctx-rh-rostralmiddlefrontal
Superiorfrontal_R,2028,ctx-rh-superiorfrontal
Superiorparietal_R,2029,ctx-rh-superiorparietal
Superiortemporal_R,2030,ctx-rh-superiortemporal
Supramarginal_R,2031,ctx-rh-supramarginal
Frontalpole_R,2032,ctx-rh-frontalpole
Temporalpole_R,2033,ctx-rh-temporalpole
Transversetemporal_R,2034,ctx-rh-transversetemporal
Insula_R,2035,ctx-rh-insula
Cerebellum_Cortex_R,47,Right-Cerebellum-Cortex
